Empresa,Dominio,Sector,Ciudad,Empleados,Fase,Importe (€),Inversores,Fecha Anuncio,Descripción Ronda,En HubSpot,Cliente Actual,HS Record ID,HS Link,Prioridad,Deal Creado,Notas SDR
Fence,fence.finance,Fintech / Deuda,Madrid,30,Serie A,17000000,Undisclosed lead,08/04/2026,Plataforma de infraestructura programable para mercados de deuda. Ronda de €17M Serie A para acelerar expansión en EEUU y crecer el equipo en Nueva York.,SÍ,NO — Lead,53722557492,https://app.hubspot.com/contacts/8564339/company/53722557492,Alta,Si,Juan Ignacio
Biorce,biorce.com,HealthTech / AI,Barcelona,120,Serie A,43800000,Undisclosed,12/02/2026,IA para acelerar ensayos clínicos. €43.8M Serie A para expansión internacional y contratación de talento. 120 empleados actuales.,SÍ,NO — Lead,39767555906,https://app.hubspot.com/contacts/8564339/company/39767555906,Alta,Si,Paco
Remuner,remuner.com,HRTech / SaaS,Barcelona,50,Serie A,7000000,Undisclosed,15/03/2026,SaaS de gestión de compensaciones e incentivos para equipos de RRHH. €7M para escalar como herramienta líder de comp con IA.,SÍ,NO — SQL,43765203572,https://app.hubspot.com/contacts/8564339/company/43765203572,Alta,No,
Orbio,orbio.work,HRTech / AI,Madrid,10,Serie A,6400000,Undisclosed,10/09/2025,Sistema HCM nativo en IA. Automatiza procesos RRHH end-to-end. €6.4M para lanzar el primer HCM nativo en IA del mundo.,SÍ,NO — Lead,46671802023,https://app.hubspot.com/contacts/8564339/company/46671802023,Alta,No,
Webel,webel.es,Home Services / App,Madrid,30,Pre-Serie A,4300000,Vinted co-founder,17/03/2026,Marketplace de servicios del hogar. €4.3M Pre-Serie A para convertirse en super-app de home services en Europa.,SÍ,NO — MQL,31010887200,https://app.hubspot.com/contacts/8564339/company/31010887200,Media,Si,Juan borreda
Galtea,galtea.ai,AI / SaaS,Barcelona,20,Seed,2700000,Mozilla Ventures,20/03/2026,Plataforma de evaluación de modelos de IA. €2.7M Seed con Mozilla Ventures. Ayuda a empresas a medir calidad de sus sistemas de IA.,NO,N/D,,,Media,Si,Juan Ignacio
Modern Relay,modernrelay.ai,Enterprise AI / SaaS,Barcelona,10,Seed,2500000,Undisclosed,14/04/2026,Capa fundacional de IA para empresas. €2.5M Seed para construir infraestructura que hace los sistemas de IA corporativos interoperables.,NO,N/D,,,Media,No,
Omnia,omnia.digital,AI / SEO / Marketing,Madrid,15,Seed,3500000,Undisclosed,01/03/2026,IA para optimización de contenido en canales de búsqueda de nueva generación. €3.5M Seed para ayudar a marcas en AI-native discovery.,NO,N/D,,,Media,No,
Eaship,eaship.io,SaaS / Logística,Valencia,15,Seed,1000000,Swanlaab Venture Factory,23/04/2026,TMS SaaS para fabricantes industriales. €1M Seed liderado por Swanlaab. Ya cliente activo de Sesame — no crear deal.,SÍ,SÍ — Cliente,49228108545,https://app.hubspot.com/contacts/8564339/company/49228108545,Media,No,
bcount,bcount.com,Fintech / Contabilidad,Barcelona,20,Seed,1000000,Capital privado + no dilutivo,15/02/2026,Gestión financiera para PYMEs. €1M combinando capital privado y financiación no dilutiva. Digitaliza la contabilidad de pequeñas empresas.,NO,N/D,,,Media,Si,Georgina
kabilio,kabilio.com,AI / Contabilidad,Barcelona,20,Pre-Seed,4000000,Undisclosed,10/11/2025,IA para automatizar contabilidad y fiscalidad en PYMEs. €4M Pre-Seed. Mejora productividad hasta 50% en gestorías. Fundada en 2024.,NO,N/D,,,Baja,No,
Hirevoice,hirevoice.com,HRTech / AI Entrevistas,Barcelona,9,Seed,900000,"Draper B1, 4FoundersCapital",05/05/2026,"Plataforma de entrevistas automatizadas con agentes de voz IA en 20+ idiomas. €900K Seed liderado por Draper B1 para acelerar el desarrollo tecnológico, expandir presencia en España y Europa, y consolidar alianzas con proveedores de ATS.",NO,N/D,,,Media,No,
Humara,humara.tech,CleanTech / Waste SaaS,O Carballiño (Galicia),15,Seed,1200000,"Impact Shakers, Inclimo Climate Tech, Zubi Capital, Ship2B Ventures",06/05/2026,"SaaS de IA para diseño y operación de plantas de residuos y reciclaje. +250 plantas en Europa y LATAM. €1.2M Seed para escalar Humara Design, lanzar Humara Operate y el copiloto Duplantis para operaciones en tiempo real.",NO,N/D,,,Media,Si,Juan Ignacio
FlexiiC,flexiic.tech,Deep Tech / Semiconductores Flexibles,Sant Cugat del Vallès,10,Seed,2000000,Bullnet Capital,08/05/2026,"Spin-off del CSIC en circuitos integrados orgánicos y flexibles (IGZO + OTFT) para IoT y sensores. €2M para industrializar procesos, cerrar acuerdos de fabricación y lanzar primeras familias de producto con socios OEM.",NO,N/D,,,Media,Si,Ignacio Jose
Olimpro,olimpro.es,FoodTech / Helados Proteicos,Pilas (Sevilla),8,Pre-Seed,300000,"ENISA, CTA (Corporación Tecnológica de Andalucía)",07/05/2026,"Fabricante de helados proteicos artesanales con +300 puntos de venta en España. €300K préstamo participativo ENISA para adquirir maquinaria, automatizar producción en Pilas y multiplicar la capacidad productiva por diez.",NO,N/D,,,Baja,No,
Embat,embat.io,Fintech / Tesorería IA,Madrid,150,Serie B,30000000,"Cathay Innovation, Creandum, Samaipata, 4Founders, Venture Friends",12/05/2026,"Fintech especializada en gestión de tesorería corporativa potenciada por IA, con más de 400 clientes y oficinas en Madrid, Londres y Berlín. Cerró una Serie B de 30M€ liderada por Cathay Innovation para acelerar su expansión global y seguir desarrollando TellMe, su analista agéntico de tesorería. Los fondos reforzarán su posición en mercados internacionales y el liderazgo en IA aplicada a finanzas corporativas.",SÍ,NO — Lead,16243310679,https://app.hubspot.com/contacts/8564339/company/16243310679,Alta,Si,Isa
Wio Capital,wiocapital.com,Fintech / Wealth Management IA,Madrid,30,Seed,1200000,"Next Tier Ventures, Bynd VC",14/05/2026,"Startup especializada en infraestructura de gestión patrimonial (wealth management) impulsada por agentes de IA autónoma. Cerró una ronda seed de 1,2M€ liderada por Next Tier Ventures y Bynd VC para acelerar el desarrollo de su plataforma. Permite a bancos, asesores y gestoras hiperautomatizar análisis financiero, reporting y cumplimiento normativo 24/7.",NO,N/D,,,Media,Si,Juan Ignacio
Dolfin,heydolfin.com,SaaS / Sales Compensation / RevOps,Barcelona,20,Seed,2300000,"Swanlaab, Archipelago Next, Inveready, Dozen",14/05/2026,"Plataforma AI-native para la gestión de compensación comercial de equipos de ventas. Cerró una ronda seed de $2,5M liderada por Swanlaab para acelerar desarrollo de producto y expansión en Europa y EE.UU. Permite a equipos de RevOps y Finanzas diseñar y adaptar planes de incentivos en tiempo real sin hojas de cálculo ni consultores externos.",NO,N/D,,,Media,Si,Ignacio Jose
ORBIK Cybersecurity,orbik-cybersecurity.com,Ciberseguridad Industrial,Arrasate (País Vasco),50,Seed,2000000,"MONDRAGON, IKERLAN, Gestión de Capital Riesgo del País Vasco",22/05/2026,"Orbik Cybersecurity (2023) es una cooperativa tecnológica vasca especializada en ciberseguridad industrial de producto. Cerró una ampliación de capital de €2M respaldada por sus socios MONDRAGON, IKERLAN y el Gobierno Vasco para financiar su plan de expansión hasta 2030, con objetivo de alcanzar 65 profesionales y 100 nuevos clientes en mercados industriales europeos.",SÍ,NO — Lead,26192286771,https://app.hubspot.com/contacts/8564339/company/26192286771,Media,Si,Juan borreda
Overwatch AI,overwatch-ai.com,Aeronáutica / IA Operacional,Barcelona,20,Pre-Seed,1300000,"United Airlines Ventures, Baobab Ventures, Pegasus Innovation Lab, Masia",20/05/2026,"Overwatch AI (2025) desarrolla una plataforma de inteligencia operacional con IA para aerolíneas, centralizando documentación de aviación, datos operacionales y procedimientos de seguridad en un único entorno. Levantó $1.5M (~€1.3M) en Pre-Seed para escalar su plataforma Wingman, ya activa en 30.000 vuelos mensuales.",NO,N/D,,,Baja,No,
Kanara,kanaralabs.com,Biotecnología / Agricultura Celular,Santa Cruz de Tenerife (Canarias),10,Pre-Seed,499000,EIC (European Innovation Council),19/05/2026,"Kanara (2021, Canarias) es la única empresa española seleccionada en el EIC Pre-accelerator de esta convocatoria. Su plataforma convierte células vegetales en biofábricas para producir ingredientes activos farmacéuticos y biocombustibles sin cultivos extensivos. Los €499K financiarán el escalado industrial y la optimización de sus biorreactores modulares.",NO,N/D,,,Baja,No,